InitializeExceptions,IrqEnabled = 0
PROGRESS CODE: V03040003 I0
PROGRESS CODE: V03040002 I0
PROGRESS CODE: V03040003 I0
PROGRESS CODE: V03040002 I0
PROGRESS CODE: V03040003 I0
PROGRESS CODE: V03040002 I0
PROGRESS CODE: V03040003 I0
PROGRESS CODE: V03040002 I0
PROGRESS CODE: V03040003 I0
PROGRESS CODE: V03040002 I0
PROGRESS CODE: V03040003 I0
PROGRESS CODE: V03040002 I0
PROGRESS CODE: V03040003 I0
PROGRESS CODE: V03040002 I0
PROGRESS CODE: V03040003 I0
PROGRESS CODE: V03040002 I0
PROGRESS CODE: V03040003 I0
PROGRESS CODE: V03040002 I0
PROGRESS CODE: V03040003 I0
PROGRESS CODE: V03040002 I0
PROGRESS CODE: V03040003 I0
PROGRESS CODE: V03040002 I0
PROGRESS CODE: V03040003 I0
PROGRESS CODE: V03040002 I0
PROGRESS CODE: V03040003 I0
PROGRESS CODE: V03040002 I0
PROGRESS CODE: V03040003 I0
PROGRESS CODE: V03040002 I0
PROGRESS CODE: V03040003 I0
PROGRESS CODE: V03040002 I0
PROGRESS CODE: V03040003 I0
PROGRESS CODE: V03040002 I0
PROGRESS CODE: V03040003 I0
PROGRESS CODE: V03040002 I0
PROGRESS CODE: V03040003 I0
PROGRESS CODE: V03040002 I0
PROGRESS CODE: V03040003 I0
PROGRESS CODE: V03040002 I0
PROGRESS CODE: V03040003 I0
PROGRESS CODE: V03040002 I0
PROGRESS CODE: V03040003 I0
PROGRESS CODE: V03040002 I0
PROGRESS CODE: V03040003 I0
PROGRESS CODE: V03040002 I0
PROGRESS CODE: V03040003 I0
PROGRESS CODE: V03041001 I0
PROGRESS CODE: V03051005 I0
PROGRESS CODE: V02010000 I0
PROGRESS CODE: V02011000 I0
PROGRESS CODE: V02011001 I0
PROGRESS CODE: V02010004 I0
PROGRESS CODE: V02010004 I0
PROGRESS CODE: V02010004 I0
PROGRESS CODE: V02010004 I0
[2J[01;01H[=3h[2J[01;01HPROGRESS CODE: V01040001 I0
PROGRESS CODE: V02010004 I0
PROGRESS CODE: V02020000 I0
PROGRESS CODE: V02020004 I0
PROGRESS CODE: V02020003 I0
PROGRESS CODE: V01010004 I0
PROGRESS CODE: V01010003 I0
PROGRESS CODE: V01010006 I0
PROGRESS CODE: V01010001 I0
PROGRESS CODE: V01011001 I0
PROGRESS CODE: V02020006 I0
PROGRESS CODE: V02020006 I0
PROGRESS CODE: V02020000 I0
PROGRESS CODE: V02010000 I0
PROGRESS CODE: V02020000 I0
PROGRESS CODE: V02020000 I0
PROGRESS CODE: V02020000 I0
PROGRESS CODE: V03051007 I0
PROGRESS CODE: V03051001 I0
PROGRESS CODE: V03058000 I0
BdsDxe: loading Boot0001 "UEFI Misc Device" from PciRoot(0x0)/Pci(0x3,0x0)
PROGRESS CODE: V03058001 I0
BdsDxe: starting Boot0001 "UEFI Misc Device" from PciRoot(0x0)/Pci(0x3,0x0)
[2J[01;01H[01;01H[2J[01;01H[01;01HPROGRESS CODE: V02010004 I0
PROGRESS CODE: V03101019 I0
[1027223079] [INFO] thing-os kernel v0.1.0 starting...
[1027393867] [INFO] Intent-Mechanism paging split active
[1028315496] [INFO] System booted
[1028426641] [INFO] Memory map has 64 entries
[1028477850] [INFO]   [0] 0x0 - 0x1000 (Reserved)
[1028509608] [INFO]   [1] 0x1000 - 0x10000 (Usable)
[1028527843] [INFO]   [2] 0x10000 - 0xb0000 (Reserved)
[1028544571] [INFO]   [3] 0xb0000 - 0xd0cc000 (Usable)
[1028561306] [INFO]   [4] 0xd0cc000 - 0xd110000 (Reserved)
[1028579218] [INFO]   [5] 0xd110000 - 0xd120000 (Other)
[1028597624] [INFO]   [6] 0xd120000 - 0xd148000 (Usable)
[1029257567] [INFO]   [7] 0xd148000 - 0xd348000 (Reserved)
[1029812787] [INFO]   [8] 0xd348000 - 0xd357000 (Usable)
[1029827942] [INFO]   [9] 0xd357000 - 0xd35c000 (Reserved)
[1029852484] [INFO] HHDM Offset: 0xffff800000000000
